url,local_path,filename,dimensions,file_size,alt_text,hash,is_duplicate,page_first_seen
https://www.freyerinternational.com//images/project/2.5.jpg,freyer-forensics/raw/images/2.5.jpg,2.5.jpg,792x618,99397,,97f489ecb8d3e10fce9ad0bf6d1a1e2526edd92f96a174e02ccb5b58f8dc4934,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/2.6.jpg,freyer-forensics/raw/images/2.6.jpg,2.6.jpg,792x618,98583,,79ebf9b218674b864ad3c9fd7f6f6e2ec85f896bed1bf45f342d5501dace91ab,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/3.jpg,freyer-forensics/raw/images/3.jpg,3.jpg,418x464,61685,,19442a3c91f6e89d6bf2943f1b9dcde8b35cb3ec136899d3ff07b654dbeb2dff,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/4.jpg,freyer-forensics/raw/images/4.jpg,4.jpg,1238x691,185393,,5a9f2221f6d59096d43906343da25bb08a70ded868dff009194fca94559ab446,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/5.1.jpg,freyer-forensics/raw/images/5.1.jpg,5.1.jpg,418x464,58683,,a09723a94857d1488d8c0d523d24d86b3429ea9d07f3d828c52ce75b6f0e8c26,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/5.2.jpg,freyer-forensics/raw/images/5.2.jpg,5.2.jpg,418x464,64721,,c566757962581b5c13b7b38ed90663f57f134008b87e5a83418938450c2714fd,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/5.3.jpg,freyer-forensics/raw/images/5.3.jpg,5.3.jpg,1280x904,256156,,4afb9ae46ad37a0122c2c154f6c00b5e5ec9d53110004edfcfbb1a8e2d5d2c30,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/6.1.jpg,freyer-forensics/raw/images/6.1.jpg,6.1.jpg,918x790,161415,,7089eeb1c4cb4d1ffa17f9df8d7441a1267da617b73e0d7723944262b2dda6e5,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/6.2.jpg,freyer-forensics/raw/images/6.2.jpg,6.2.jpg,800x790,162625,,a81901d09d77ab5a7e3f2242bdf21fbcd7c2ee3367cd189ea94b33f515853391,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/6.3.jpg,freyer-forensics/raw/images/6.3.jpg,6.3.jpg,799x790,118824,,fbaff7d717c1e13ae51423a7840e0424d9015ecd691b724cf08b9b822f2c03eb,False,https://www.freyerinternational.com//project
