url,local_path,filename,type,mime_type,dimensions,width,height,file_size,page_first_seen,alt_text,hash,is_duplicate
https://www.freyerinternational.com//images/Project-Cargo.jpg,freyer-forensics/raw/images/Project-Cargo.jpg,Project-Cargo.jpg,images,image/jpeg,1920x1280,1920,1280,560262,https://www.freyerinternational.com//services,,c23e4e06e5d7c574b21d8ff9f79e0a41d7092d75554877c58da8e59a228a150c,False
https://www.freyerinternational.com/images/india map.jpg,freyer-forensics/raw/images/india_map.jpg,india_map.jpg,images,image/jpeg,495x501,495,501,169443,https://www.freyerinternational.com//locations,map,0f524a7dbe4bb675008ace27b4c091257e7f3b7bf9f7de617164ea124f5892e3,False
https://www.freyerinternational.com//images/mappin.png,freyer-forensics/raw/images/mappin.png,mappin.png,images,image/png,264x375,264,375,69904,https://www.freyerinternational.com//locations,,86a9222a23b99a869d70650c32f72928f32fcb9f1a78bca5e5b2b1ddd76fcf48,False
https://www.freyerinternational.com//images/Awards/14.jpeg,freyer-forensics/raw/images/14.jpeg,14.jpeg,images,image/jpeg,867x1156,867,1156,109572,https://www.freyerinternational.com//awards,,2d814533bfc2052c82c9bec2a59f1aef50fc193ce2055d33ab9dd2dffc45395c,False
https://www.freyerinternational.com//images/Awards/13.jpeg,freyer-forensics/raw/images/13.jpeg,13.jpeg,images,image/jpeg,918x1317,918,1317,80403,https://www.freyerinternational.com//awards,,5ed81dcf39ed992e4f18c3eddf7f421305355da25332fb25ca4d8e09b027e9f0,False
https://www.freyerinternational.com//images/Awards/12.jpeg,freyer-forensics/raw/images/12.jpeg,12.jpeg,images,image/jpeg,960x1600,960,1600,82585,https://www.freyerinternational.com//awards,,be4b646489e3450867b673390766fb1c013bc8b0ab1944e9cffb7c339d956809,False
https://www.freyerinternational.com//images/Awards/11.jpeg,freyer-forensics/raw/images/11.jpeg,11.jpeg,images,image/jpeg,1239x1600,1239,1600,132955,https://www.freyerinternational.com//awards,,d1f69af033b47b3610999f6077373b3260f4ec67e4943e928205c4279a3f1970,False
https://www.freyerinternational.com//images/Awards/AEO.jpg,freyer-forensics/raw/images/AEO.jpg,AEO.jpg,images,image/jpeg,1241x1754,1241,1754,1103572,https://www.freyerinternational.com//awards,,9a4a58cb3ce88a0bf8f39fb0899a471fa47641f4bfe7afb70aec870978f50fae,False
https://www.freyerinternational.com//images/Awards/SCN -Member_certificate.png,freyer-forensics/raw/images/SCN_-Member_certificate.png,SCN_-Member_certificate.png,images,image/png,2000x1414,2000,1414,237446,https://www.freyerinternational.com//awards,,8a57cbe8f0638b219e2e24afefccc6f8daefc13fb4c355e536dc58bc0a899747,False
https://www.freyerinternational.com//images/Awards/1.jpg,freyer-forensics/raw/images/1.jpg,1.jpg,images,image/jpeg,675x1024,675,1024,72897,https://www.freyerinternational.com//awards,,3df43169f61b18080d5a7a87079325e0e4c6b26e9786edd23fb5ba323af77e40,False
